lat,lon,speed,gear
35.229922,126.842889,0,5
35.22992523,126.84288,1.414213562,5
35.22992847,126.842871,2,5
35.2299317,126.842862,2.449489743,5
35.22993494,126.842853,2.828427125,5
35.22993817,126.842844,3.16227766,5
35.22994141,126.842835,3.464101615,5
35.22994464,126.842826,4,5
35.22994788,126.842817,4.242640687,5
35.22995111,126.842808,4.472135955,5
35.22995435,126.842799,4.69041576,5
35.22995758,126.84279,4.898979486,5
35.22996082,126.842781,5.099019514,5
35.22996405,126.842772,5.291502622,5
35.22996729,126.842763,5.477225575,5
35.22997052,126.842754,5.656854249,5
35.22997376,126.842745,5.830951895,5
35.22997699,126.842736,6,5
35.22998022,126.842727,6.164414003,5
35.22998346,126.842718,6.32455532,5
35.22998669,126.842709,6.480740698,5
35.22998993,126.8427,6.633249581,5
35.22999316,126.842691,6.782329983,5
35.2299964,126.842682,6.92820323,5
35.22999963,126.842673,7.071067812,5
35.23000287,126.842664,7.211102551,5
35.2300061,126.842655,7.348469228,5
35.23000934,126.842646,7.483314774,5
35.23001257,126.842637,7.615773106,5
35.23001581,126.842628,7.745966692,5
35.23001904,126.842619,7.874007874,5
35.23002228,126.84261,8,5
35.23002551,126.842601,8,5
35.23002874,126.842592,8,5
35.23003198,126.842583,8,5
35.23003521,126.842574,8,5
35.23003845,126.842565,8,5
35.23004168,126.842556,8,5
35.23004492,126.842547,8,5
35.23004815,126.842538,8,5
35.23005139,126.842529,8,5
35.23005462,126.84252,8,5
35.23005786,126.842511,8,5
35.23006109,126.842502,8,5
35.23006433,126.842493,8,5
35.23006756,126.842484,8,5
35.2300708,126.842475,8,5
35.23007403,126.842466,8,5
35.23007727,126.842457,8,5
35.2300805,126.842448,8,5
35.23008373,126.842439,8,5
35.23008697,126.84243,8,5
35.2300902,126.842421,8,5
35.23009344,126.842412,8,5
35.23009667,126.842403,8,5
35.23009991,126.842394,8,5
35.23010314,126.842385,8,5
35.23010638,126.842376,8,5
35.23010961,126.842367,8,5
