lat,lon,speed,gear
35.23055465,126.8410483,3,5
35.23055198,126.841038,3,5
35.2305493,126.8410276,3,5
35.23054663,126.8410173,3,5
35.23054395,126.8410069,3,5
35.23054128,126.8409966,3,5
35.2305386,126.8409862,3,5
35.23053593,126.8409759,3,5
35.23053325,126.8409655,3,5
35.23053058,126.8409552,3,5
35.2305279,126.8409448,3,5
35.23052523,126.8409345,3,5
35.23052255,126.8409241,3,5
35.23051988,126.8409138,3,5
35.2305172,126.8409034,3,5
35.23051453,126.8408931,3,5
35.23051185,126.8408827,3,5
35.23050918,126.8408724,3,5
35.2305065,126.840862,3,5
35.23050383,126.8408517,3,5
35.23050115,126.8408413,3,5
35.23049848,126.840831,3,5
35.2304958,126.8408206,3,5
35.23049313,126.8408103,3,5
35.23049045,126.8407999,3,5
35.23048778,126.8407896,3,5
35.2304851,126.8407792,3,5
35.23048243,126.8407689,3,5
35.23047975,126.8407585,3,5
35.23047708,126.8407482,3,5
35.2304744,126.8407378,3,5
35.23047173,126.8407275,3,5
35.23046905,126.8407171,3,5
35.23046638,126.8407068,3,5
35.2304637,126.8406964,3,5
35.23046103,126.8406861,3,5
35.23045835,126.8406757,3,5
35.23045568,126.8406654,3,5
35.230453,126.840655,3,5
